src_flow_id,dst_flow_id,src_amount_usd,dst_amount_usd,median_delay_sec,pattern_type,label_confidence,label_type,bridge,label_source,support_tx_pair_count,matched_src_amount_usd,matched_dst_amount_usd,flow_mass_ratio_dst
eth_flow_055c11bff68b40__r7fam00__inst00__synth_split_src,bnb_flow_8ebc9a04821241__synth_split_a,2.08,0.6933333333333334,161.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,0.6933333333333334,0.6933333333333334,
eth_flow_055c11bff68b40__r7fam00__inst00__synth_split_src,bnb_flow_8ebc9a04821241__synth_split_b,2.08,0.6933333333333334,161.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,0.6933333333333334,0.6933333333333334,
eth_flow_055c11bff68b40__r7fam00__inst00__synth_split_src,bnb_flow_8ebc9a04821241__synth_split_c,2.08,0.6933333333333334,161.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,0.6933333333333334,0.6933333333333334,
eth_flow_055c11bff68b40__r7fam00__inst00__synth_merge_src1,bnb_flow_8ebc9a04821241__synth_merge_dst,1.04,2.08,161.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,1.04,1.04,
eth_flow_055c11bff68b40__r7fam00__inst00__synth_merge_src2,bnb_flow_8ebc9a04821241__synth_merge_dst,1.04,2.08,161.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,1.04,1.04,
eth_flow_055c11bff68b40__r7fam00__inst00__synth_unmatched_src,bnb_flow_8ebc9a04821241__synth_hidden_dst,2.08,0,161.0,one_to_one,0.2,supervised_flow_pair,Celer,semi_synthetic_unmatched,,,0,0
eth_flow_055c11bff68b40__r7fam00__inst00__synth_noise_src_0,bnb_flow_8ebc9a04821241__synth_noise_dst_0,2.08,1.039871899799604,221,one_to_one,0.2224,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_055c11bff68b40__r7fam00__inst00__synth_noise_src_1,bnb_flow_8ebc9a04821241__synth_noise_dst_1,2.08,1.039871899799604,281,one_to_one,0.2258,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_8b18bab6992d49__r7fam00__inst01__synth_split_src,bnb_flow_c03211f39cd14c__synth_split_a,100.0,50.0,125.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,50.0,50.0,
eth_flow_8b18bab6992d49__r7fam00__inst01__synth_split_src,bnb_flow_c03211f39cd14c__synth_split_b,100.0,50.0,125.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,50.0,50.0,
