chain,bridge,flow_id,tx_hashes,address_set,primary_address,token_contracts,token_symbols,asset_group,route_id,start_time,end_time,tx_count,raw_amount_sum,human_amount_sum,usd_amount_sum,aml_score_mean,aml_score_max,evidence_quality_mean,flow_construction_rule
ETH,Multi,eth_flow_0x8073f328132e__r7fam00__inst00__synth_split_src,0x8073f328132e6d66a3cb77546e9ff180062d96650d8ec0753143c61288813e14,0x22648c12acd87912ea1710357b1302c6a4154ebc|0x5c81740799c3e31552ce98553cba344aa5983bbb,0x5c81740799c3e31552ce98553cba344aa5983bbb,0x22648c12acd87912ea1710357b1302c6a4154ebc,USDT,USDT,0x8073f328132e6d66a3cb77546e9ff180062d96650d8ec0753143c61288813e14_USDT,1638425956,1638425956,1,150000000.0,150.0,150.0,0.000000,0.000000,0.750000,bridge_deposit_flow
ETH,Multi,eth_flow_0x8073f328132e__r7fam00__inst00__synth_merge_src1,0x8073f328132e6d66a3cb77546e9ff180062d96650d8ec0753143c61288813e14,0x22648c12acd87912ea1710357b1302c6a4154ebc|0x5c81740799c3e31552ce98553cba344aa5983bbb,0x5c81740799c3e31552ce98553cba344aa5983bbb,0x22648c12acd87912ea1710357b1302c6a4154ebc,USDT,USDT,0x8073f328132e6d66a3cb77546e9ff180062d96650d8ec0753143c61288813e14_USDT,1638425956,1638425956,1,75000000.0,75.0,75.0,0.000000,0.000000,0.750000,bridge_deposit_flow
ETH,Multi,eth_flow_0x8073f328132e__r7fam00__inst00__synth_merge_src2,0x8073f328132e6d66a3cb77546e9ff180062d96650d8ec0753143c61288813e14,0x22648c12acd87912ea1710357b1302c6a4154ebc|0x5c81740799c3e31552ce98553cba344aa5983bbb,0x5c81740799c3e31552ce98553cba344aa5983bbb,0x22648c12acd87912ea1710357b1302c6a4154ebc,USDT,USDT,0x8073f328132e6d66a3cb77546e9ff180062d96650d8ec0753143c61288813e14_USDT,1638425956,1638425956,1,75000000.0,75.0,75.0,0.000000,0.000000,0.750000,bridge_deposit_flow
ETH,Multi,eth_flow_0x8073f328132e__r7fam00__inst00__synth_unmatched_src,0x8073f328132e6d66a3cb77546e9ff180062d96650d8ec0753143c61288813e14,0x22648c12acd87912ea1710357b1302c6a4154ebc|0x5c81740799c3e31552ce98553cba344aa5983bbb,0x5c81740799c3e31552ce98553cba344aa5983bbb,0x22648c12acd87912ea1710357b1302c6a4154ebc,USDT,USDT,0x8073f328132e6d66a3cb77546e9ff180062d96650d8ec0753143c61288813e14_USDT,1638425956,1638425956,1,150000000.0,150.0,150.0,0.000000,0.000000,0.750000,bridge_deposit_flow
ETH,Multi,eth_flow_0x8073f328132e__r7fam00__inst00__synth_noise_src_0,0x8073f328132e6d66a3cb77546e9ff180062d96650d8ec0753143c61288813e14,0x22648c12acd87912ea1710357b1302c6a4154ebc|0x5c81740799c3e31552ce98553cba344aa5983bbb,0x5c81740799c3e31552ce98553cba344aa5983bbb,0x22648c12acd87912ea1710357b1302c6a4154ebc,USDT,USDT,0x8073f328132e6d66a3cb77546e9ff180062d96650d8ec0753143c61288813e14_USDT,1638425956,1638425956,1,150000000.0,150.0,150.0,0.000000,0.000000,0.750000,bridge_deposit_flow
ETH,Multi,eth_flow_0x8073f328132e__r7fam00__inst00__synth_noise_src_1,0x8073f328132e6d66a3cb77546e9ff180062d96650d8ec0753143c61288813e14,0x22648c12acd87912ea1710357b1302c6a4154ebc|0x5c81740799c3e31552ce98553cba344aa5983bbb,0x5c81740799c3e31552ce98553cba344aa5983bbb,0x22648c12acd87912ea1710357b1302c6a4154ebc,USDT,USDT,0x8073f328132e6d66a3cb77546e9ff180062d96650d8ec0753143c61288813e14_USDT,1638425956,1638425956,1,150000000.0,150.0,150.0,0.000000,0.000000,0.750000,bridge_deposit_flow
ETH,Multi,eth_flow_0xd7bb9eef50ed__r7fam00__inst01__synth_split_src,0xd7bb9eef50edc6ddd72377d4c8c8a4ca49c93f6a3be88f4022405a8e0b929c42,0x22648c12acd87912ea1710357b1302c6a4154ebc|0x7a33f5ec6176a5d7e27d2e48d48ef16081e7cdf4,0x7a33f5ec6176a5d7e27d2e48d48ef16081e7cdf4,0x22648c12acd87912ea1710357b1302c6a4154ebc,USDT,USDT,0xd7bb9eef50edc6ddd72377d4c8c8a4ca49c93f6a3be88f4022405a8e0b929c42_USDT,1638649899,1638649899,1,118060000.0,118.06,118.06,0.000000,0.000000,0.750000,bridge_deposit_flow
ETH,Multi,eth_flow_0xd7bb9eef50ed__r7fam00__inst01__synth_merge_src1,0xd7bb9eef50edc6ddd72377d4c8c8a4ca49c93f6a3be88f4022405a8e0b929c42,0x22648c12acd87912ea1710357b1302c6a4154ebc|0x7a33f5ec6176a5d7e27d2e48d48ef16081e7cdf4,0x7a33f5ec6176a5d7e27d2e48d48ef16081e7cdf4,0x22648c12acd87912ea1710357b1302c6a4154ebc,USDT,USDT,0xd7bb9eef50edc6ddd72377d4c8c8a4ca49c93f6a3be88f4022405a8e0b929c42_USDT,1638649899,1638649899,1,59030000.0,59.03,59.03,0.000000,0.000000,0.750000,bridge_deposit_flow
ETH,Multi,eth_flow_0xd7bb9eef50ed__r7fam00__inst01__synth_merge_src2,0xd7bb9eef50edc6ddd72377d4c8c8a4ca49c93f6a3be88f4022405a8e0b929c42,0x22648c12acd87912ea1710357b1302c6a4154ebc|0x7a33f5ec6176a5d7e27d2e48d48ef16081e7cdf4,0x7a33f5ec6176a5d7e27d2e48d48ef16081e7cdf4,0x22648c12acd87912ea1710357b1302c6a4154ebc,USDT,USDT,0xd7bb9eef50edc6ddd72377d4c8c8a4ca49c93f6a3be88f4022405a8e0b929c42_USDT,1638649899,1638649899,1,59030000.0,59.03,59.03,0.000000,0.000000,0.750000,bridge_deposit_flow
ETH,Multi,eth_flow_0xd7bb9eef50ed__r7fam00__inst01__synth_unmatched_src,0xd7bb9eef50edc6ddd72377d4c8c8a4ca49c93f6a3be88f4022405a8e0b929c42,0x22648c12acd87912ea1710357b1302c6a4154ebc|0x7a33f5ec6176a5d7e27d2e48d48ef16081e7cdf4,0x7a33f5ec6176a5d7e27d2e48d48ef16081e7cdf4,0x22648c12acd87912ea1710357b1302c6a4154ebc,USDT,USDT,0xd7bb9eef50edc6ddd72377d4c8c8a4ca49c93f6a3be88f4022405a8e0b929c42_USDT,1638649899,1638649899,1,118060000.0,118.06,118.06,0.000000,0.000000,0.750000,bridge_deposit_flow
