chain,bridge,flow_id,tx_hashes,address_set,primary_address,token_contracts,token_symbols,asset_group,route_id,start_time,end_time,tx_count,raw_amount_sum,human_amount_sum,usd_amount_sum,aml_score_mean,aml_score_max,evidence_quality_mean,flow_construction_rule,bridge_contract_hit
BNB,Multi,bnb_flow_0xe974b5f51072__synth_split_a,0xe974b5f5107209164602f0d9de96ef82c9ea48d70d1728afc696e0d60f56411f,0x5c81740799c3e31552ce98553cba344aa5983bbb|0xd1c5966f9f5ee6881ff6b261bbeda45972b1b5f3|0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,0x5c81740799c3e31552ce98553cba344aa5983bbb,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,USDT,0xe974b5f5107209164602f0d9de96ef82c9ea48d70d1728afc696e0d60f56411f_USDT,1638424852,1638424852,1,7.455e+19,74.55,74.55,0,0,0.750000,bridge_dst_event_flow,True
BNB,Multi,bnb_flow_0xe974b5f51072__synth_split_b,0xe974b5f5107209164602f0d9de96ef82c9ea48d70d1728afc696e0d60f56411f,0x5c81740799c3e31552ce98553cba344aa5983bbb|0xd1c5966f9f5ee6881ff6b261bbeda45972b1b5f3|0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,0x5c81740799c3e31552ce98553cba344aa5983bbb,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,USDT,0xe974b5f5107209164602f0d9de96ef82c9ea48d70d1728afc696e0d60f56411f_USDT,1638424852,1638424852,1,7.455e+19,74.55,74.55,0,0,0.750000,bridge_dst_event_flow,True
BNB,Multi,bnb_flow_0xe974b5f51072__synth_merge_dst,0xe974b5f5107209164602f0d9de96ef82c9ea48d70d1728afc696e0d60f56411f,0x5c81740799c3e31552ce98553cba344aa5983bbb|0xd1c5966f9f5ee6881ff6b261bbeda45972b1b5f3|0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,0x5c81740799c3e31552ce98553cba344aa5983bbb,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,USDT,0xe974b5f5107209164602f0d9de96ef82c9ea48d70d1728afc696e0d60f56411f_USDT,1638424852,1638424852,1,1.491e+20,149.1,149.1,0,0,0.750000,bridge_dst_event_flow,True
BNB,Multi,bnb_flow_0xe974b5f51072__synth_hidden_dst,0xe974b5f5107209164602f0d9de96ef82c9ea48d70d1728afc696e0d60f56411f,0x5c81740799c3e31552ce98553cba344aa5983bbb|0xd1c5966f9f5ee6881ff6b261bbeda45972b1b5f3|0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,0x5c81740799c3e31552ce98553cba344aa5983bbb,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,USDT,0xe974b5f5107209164602f0d9de96ef82c9ea48d70d1728afc696e0d60f56411f_USDT,1638424852,1638424852,1,1.491e+20,149.1,149.1,0,0,0.750000,bridge_dst_event_flow,True
BNB,Multi,bnb_flow_0xe974b5f51072__synth_noise_dst_0,0xe974b5f5107209164602f0d9de96ef82c9ea48d70d1728afc696e0d60f56411f,0x5c81740799c3e31552ce98553cba344aa5983bbb|0xd1c5966f9f5ee6881ff6b261bbeda45972b1b5f3|0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,0x5c81740799c3e31552ce98553cba344aa5983bbb,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,USDT,0xe974b5f5107209164602f0d9de96ef82c9ea48d70d1728afc696e0d60f56411f_USDT,1638424912,1638424912,1,1.491e+20,149.1,149.1,0,0,0.750000,bridge_dst_event_flow,True
BNB,Multi,bnb_flow_0xe974b5f51072__synth_noise_dst_1,0xe974b5f5107209164602f0d9de96ef82c9ea48d70d1728afc696e0d60f56411f,0x5c81740799c3e31552ce98553cba344aa5983bbb|0xd1c5966f9f5ee6881ff6b261bbeda45972b1b5f3|0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,0x5c81740799c3e31552ce98553cba344aa5983bbb,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,USDT,0xe974b5f5107209164602f0d9de96ef82c9ea48d70d1728afc696e0d60f56411f_USDT,1638424972,1638424972,1,1.491e+20,149.1,149.1,0,0,0.750000,bridge_dst_event_flow,True
BNB,Multi,bnb_flow_0x38ac3ebece19__synth_split_a,0x38ac3ebece19e67d93de7d67de4877fa01c746c8e08609ff496ae1f7c6dc7e77,0x7a33f5ec6176a5d7e27d2e48d48ef16081e7cdf4|0xd1c5966f9f5ee6881ff6b261bbeda45972b1b5f3|0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,0x7a33f5ec6176a5d7e27d2e48d48ef16081e7cdf4,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,USDT,0x38ac3ebece19e67d93de7d67de4877fa01c746c8e08609ff496ae1f7c6dc7e77_USDT,1638649724,1638649724,1,3.905333333333333e+19,39.05333333333333,39.05333333333333,0,0,0.750000,bridge_dst_event_flow,True
BNB,Multi,bnb_flow_0x38ac3ebece19__synth_split_b,0x38ac3ebece19e67d93de7d67de4877fa01c746c8e08609ff496ae1f7c6dc7e77,0x7a33f5ec6176a5d7e27d2e48d48ef16081e7cdf4|0xd1c5966f9f5ee6881ff6b261bbeda45972b1b5f3|0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,0x7a33f5ec6176a5d7e27d2e48d48ef16081e7cdf4,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,USDT,0x38ac3ebece19e67d93de7d67de4877fa01c746c8e08609ff496ae1f7c6dc7e77_USDT,1638649724,1638649724,1,3.905333333333333e+19,39.05333333333333,39.05333333333333,0,0,0.750000,bridge_dst_event_flow,True
BNB,Multi,bnb_flow_0x38ac3ebece19__synth_split_c,0x38ac3ebece19e67d93de7d67de4877fa01c746c8e08609ff496ae1f7c6dc7e77,0x7a33f5ec6176a5d7e27d2e48d48ef16081e7cdf4|0xd1c5966f9f5ee6881ff6b261bbeda45972b1b5f3|0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,0x7a33f5ec6176a5d7e27d2e48d48ef16081e7cdf4,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,USDT,0x38ac3ebece19e67d93de7d67de4877fa01c746c8e08609ff496ae1f7c6dc7e77_USDT,1638649724,1638649724,1,3.905333333333333e+19,39.05333333333333,39.05333333333333,0,0,0.750000,bridge_dst_event_flow,True
BNB,Multi,bnb_flow_0x38ac3ebece19__synth_merge_dst,0x38ac3ebece19e67d93de7d67de4877fa01c746c8e08609ff496ae1f7c6dc7e77,0x7a33f5ec6176a5d7e27d2e48d48ef16081e7cdf4|0xd1c5966f9f5ee6881ff6b261bbeda45972b1b5f3|0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,0x7a33f5ec6176a5d7e27d2e48d48ef16081e7cdf4,0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,USDT,USDT,0x38ac3ebece19e67d93de7d67de4877fa01c746c8e08609ff496ae1f7c6dc7e77_USDT,1638649724,1638649724,1,1.1716e+20,117.16,117.16,0,0,0.750000,bridge_dst_event_flow,True
