src_flow_id,dst_flow_id,src_amount_usd,dst_amount_usd,median_delay_sec,pattern_type,label_confidence,label_type,src_chain,dst_chain,bridge,src_token,dst_token,asset_group,label_source,support_tx_pair_count,matched_src_amount_usd,matched_dst_amount_usd,flow_mass_ratio_dst
eth_flow_0xf260f68a9bfa__r7fam00__inst00__synth_split_src,bnb_flow_0xe809e7b9afea__synth_split_a,0.7181456708197331,0.23938189027324439,175,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_split,1,0.23938189027324439,0.23938189027324439,
eth_flow_0xf260f68a9bfa__r7fam00__inst00__synth_split_src,bnb_flow_0xe809e7b9afea__synth_split_b,0.7181456708197331,0.23938189027324439,175,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_split,1,0.23938189027324439,0.23938189027324439,
eth_flow_0xf260f68a9bfa__r7fam00__inst00__synth_split_src,bnb_flow_0xe809e7b9afea__synth_split_c,0.7181456708197331,0.23938189027324439,175,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_split,1,0.23938189027324439,0.23938189027324439,
eth_flow_0xf260f68a9bfa__r7fam00__inst00__synth_merge_src1,bnb_flow_0xe809e7b9afea__synth_merge_dst,0.35907283540986656,0.7181456708197331,175,many_to_one,1.0,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_merge,,0.35907283540986656,0.35907283540986656,
eth_flow_0xf260f68a9bfa__r7fam00__inst00__synth_merge_src2,bnb_flow_0xe809e7b9afea__synth_merge_dst,0.35907283540986656,0.7181456708197331,175,many_to_one,1.0,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_merge,,0.35907283540986656,0.35907283540986656,
eth_flow_0xf260f68a9bfa__r7fam00__inst00__synth_unmatched_src,bnb_flow_0xe809e7b9afea__synth_hidden_dst,0.7181456708197331,0,175,one_to_one,0.2,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_unmatched,,,0,0
eth_flow_0xf260f68a9bfa__r7fam00__inst00__synth_noise_src_0,bnb_flow_0xe809e7b9afea__synth_noise_dst_0,0.7181456708197331,0.7181456708197331,235,one_to_one,0.2459,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_delay_noise,,,,
eth_flow_0xf260f68a9bfa__r7fam00__inst00__synth_noise_src_1,bnb_flow_0xe809e7b9afea__synth_noise_dst_1,0.7181456708197331,0.7181456708197331,295,one_to_one,0.2351,supervised_flow_pair,ETH,BNB,Poly,0x5d285f735998f36631f678ff41fb56a10a4d0429,0x398f7827dccbefe6990478876bbf3612d93baf05,MIX,semi_synthetic_delay_noise,,,,
eth_flow_0xb4d7943c5d74__r7fam00__inst01__synth_split_src,bnb_flow_0x3eddbb7e98e0__synth_split_a,2.1234438398252435,0.5308609599563109,159,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_split,1,0.5308609599563109,0.5308609599563109,
eth_flow_0xb4d7943c5d74__r7fam00__inst01__synth_split_src,bnb_flow_0x3eddbb7e98e0__synth_split_b,2.1234438398252435,0.5308609599563109,159,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_split,1,0.5308609599563109,0.5308609599563109,
eth_flow_0xb4d7943c5d74__r7fam00__inst01__synth_split_src,bnb_flow_0x3eddbb7e98e0__synth_split_c,2.1234438398252435,0.5308609599563109,159,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_split,1,0.5308609599563109,0.5308609599563109,
eth_flow_0xb4d7943c5d74__r7fam00__inst01__synth_split_src,bnb_flow_0x3eddbb7e98e0__synth_split_d,2.1234438398252435,0.5308609599563109,159,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_split,1,0.5308609599563109,0.5308609599563109,
eth_flow_0xb4d7943c5d74__r7fam00__inst01__synth_merge_src1,bnb_flow_0x3eddbb7e98e0__synth_merge_dst,1.0617219199126218,2.1234438398252435,159,many_to_one,1.0,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_merge,,1.0617219199126218,1.0617219199126218,
eth_flow_0xb4d7943c5d74__r7fam00__inst01__synth_merge_src2,bnb_flow_0x3eddbb7e98e0__synth_merge_dst,1.0617219199126218,2.1234438398252435,159,many_to_one,1.0,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_merge,,1.0617219199126218,1.0617219199126218,
eth_flow_0xb4d7943c5d74__r7fam00__inst01__synth_unmatched_src,bnb_flow_0x3eddbb7e98e0__synth_hidden_dst,2.1234438398252435,0,159,one_to_one,0.2,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_unmatched,,,0,0
eth_flow_0xb4d7943c5d74__r7fam00__inst01__synth_noise_src_0,bnb_flow_0x3eddbb7e98e0__synth_noise_dst_0,2.1234438398252435,2.1234438398252435,219,one_to_one,0.2381,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_delay_noise,,,,
eth_flow_0xb4d7943c5d74__r7fam00__inst01__synth_noise_src_1,bnb_flow_0x3eddbb7e98e0__synth_noise_dst_1,2.1234438398252435,2.1234438398252435,279,one_to_one,0.2294,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_delay_noise,,,,
eth_flow_0x9a1ca3f9988d__r7fam01__inst00__synth_split_src,bnb_flow_0xa335459f68ff__synth_split_a,1.1230165813685369,0.1403770726710671,205,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_split,1,0.1403770726710671,0.1403770726710671,
eth_flow_0x9a1ca3f9988d__r7fam01__inst00__synth_split_src,bnb_flow_0xa335459f68ff__synth_split_b,1.1230165813685369,0.1403770726710671,205,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_split,1,0.1403770726710671,0.1403770726710671,
eth_flow_0x9a1ca3f9988d__r7fam01__inst00__synth_split_src,bnb_flow_0xa335459f68ff__synth_split_c,1.1230165813685369,0.1403770726710671,205,one_to_many,0.95,supervised_flow_pair,ETH,BNB,Poly,0x001a8ffcb0f03e99141652ebcdecdb0384e3bd6c,0xc49dde62b4a0810074721faca54aab52369f486a,PKR,semi_synthetic_split,1,0.1403770726710671,0.1403770726710671,
