src_flow_id,dst_flow_id,src_amount_usd,dst_amount_usd,median_delay_sec,pattern_type,label_confidence,label_type,bridge,label_source,support_tx_pair_count,matched_src_amount_usd,matched_dst_amount_usd,flow_mass_ratio_dst
eth_flow_420aaf244e7749__r7fam00__inst00__synth_split_src,bnb_flow_7e465bddde0341__synth_split_a,76.0,38.0,140.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,38.0,38.0,
eth_flow_420aaf244e7749__r7fam00__inst00__synth_split_src,bnb_flow_7e465bddde0341__synth_split_b,76.0,38.0,140.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,38.0,38.0,
eth_flow_420aaf244e7749__r7fam00__inst00__synth_merge_src1,bnb_flow_7e465bddde0341__synth_merge_dst,38.0,76.0,140.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,38.0,38.0,
eth_flow_420aaf244e7749__r7fam00__inst00__synth_merge_src2,bnb_flow_7e465bddde0341__synth_merge_dst,38.0,76.0,140.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,38.0,38.0,
eth_flow_420aaf244e7749__r7fam00__inst00__synth_unmatched_src,bnb_flow_7e465bddde0341__synth_hidden_dst,76.0,0,140.0,one_to_one,0.2,supervised_flow_pair,Celer,semi_synthetic_unmatched,,,0,0
eth_flow_420aaf244e7749__r7fam00__inst00__synth_noise_src_0,bnb_flow_7e465bddde0341__synth_noise_dst_0,76.0,74.55054266241117,200,one_to_one,0.233,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_420aaf244e7749__r7fam00__inst00__synth_noise_src_1,bnb_flow_7e465bddde0341__synth_noise_dst_1,76.0,74.55054266241117,260,one_to_one,0.2567,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_517425d5c12040__r7fam00__inst01__synth_split_src,bnb_flow_7ab4db95c41d43__synth_split_a,0.03,0.015,134.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,0.015,0.015,
eth_flow_517425d5c12040__r7fam00__inst01__synth_split_src,bnb_flow_7ab4db95c41d43__synth_split_b,0.03,0.015,134.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,0.015,0.015,
eth_flow_517425d5c12040__r7fam00__inst01__synth_merge_src1,bnb_flow_7ab4db95c41d43__synth_merge_dst,0.015,0.03,134.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,0.015,0.015,
eth_flow_517425d5c12040__r7fam00__inst01__synth_merge_src2,bnb_flow_7ab4db95c41d43__synth_merge_dst,0.015,0.03,134.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,0.015,0.015,
eth_flow_517425d5c12040__r7fam00__inst01__synth_unmatched_src,bnb_flow_7ab4db95c41d43__synth_hidden_dst,0.03,0,134.0,one_to_one,0.2,supervised_flow_pair,Celer,semi_synthetic_unmatched,,,0,0
eth_flow_517425d5c12040__r7fam00__inst01__synth_noise_src_0,bnb_flow_7ab4db95c41d43__synth_noise_dst_0,0.03,0.0296222368021169,194,one_to_one,0.2203,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_517425d5c12040__r7fam00__inst01__synth_noise_src_1,bnb_flow_7ab4db95c41d43__synth_noise_dst_1,0.03,0.0296222368021169,254,one_to_one,0.2316,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_d7bfa7587fcf47__r7fam01__inst00__synth_split_src,bnb_flow_64a947aff4cc44__synth_split_a,50.0,10.0,173.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,10.0,10.0,
eth_flow_d7bfa7587fcf47__r7fam01__inst00__synth_split_src,bnb_flow_64a947aff4cc44__synth_split_b,50.0,10.0,173.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,10.0,10.0,
eth_flow_d7bfa7587fcf47__r7fam01__inst00__synth_split_src,bnb_flow_64a947aff4cc44__synth_split_c,50.0,10.0,173.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,10.0,10.0,
eth_flow_d7bfa7587fcf47__r7fam01__inst00__synth_split_src,bnb_flow_64a947aff4cc44__synth_split_d,50.0,10.0,173.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,10.0,10.0,
eth_flow_d7bfa7587fcf47__r7fam01__inst00__synth_split_src,bnb_flow_64a947aff4cc44__synth_split_e,50.0,10.0,173.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,10.0,10.0,
eth_flow_d7bfa7587fcf47__r7fam01__inst00__synth_merge_src1,bnb_flow_64a947aff4cc44__synth_merge_dst,25.0,50.0,173.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,25.0,25.0,
eth_flow_d7bfa7587fcf47__r7fam01__inst00__synth_merge_src2,bnb_flow_64a947aff4cc44__synth_merge_dst,25.0,50.0,173.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,25.0,25.0,
eth_flow_d7bfa7587fcf47__r7fam01__inst00__synth_unmatched_src,bnb_flow_64a947aff4cc44__synth_hidden_dst,50.0,0,173.0,one_to_one,0.2,supervised_flow_pair,Celer,semi_synthetic_unmatched,,,0,0
eth_flow_d7bfa7587fcf47__r7fam01__inst00__synth_noise_src_0,bnb_flow_64a947aff4cc44__synth_noise_dst_0,50.0,48.50375993430378,233,one_to_one,0.2433,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_d7bfa7587fcf47__r7fam01__inst00__synth_noise_src_1,bnb_flow_64a947aff4cc44__synth_noise_dst_1,50.0,48.50375993430378,293,one_to_one,0.22,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_f47228df7eb24e__r7fam01__inst01__synth_split_src,bnb_flow_cd12a5843f5041__synth_split_a,98.89000599580292,32.96333533193431,168.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,32.96333533193431,32.96333533193431,
eth_flow_f47228df7eb24e__r7fam01__inst01__synth_split_src,bnb_flow_cd12a5843f5041__synth_split_b,98.89000599580292,32.96333533193431,168.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,32.96333533193431,32.96333533193431,
eth_flow_f47228df7eb24e__r7fam01__inst01__synth_split_src,bnb_flow_cd12a5843f5041__synth_split_c,98.89000599580292,32.96333533193431,168.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,32.96333533193431,32.96333533193431,
eth_flow_f47228df7eb24e__r7fam01__inst01__synth_merge_src1,bnb_flow_cd12a5843f5041__synth_merge_dst,49.44500299790146,98.89000599580292,168.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,49.44500299790146,49.44500299790146,
eth_flow_f47228df7eb24e__r7fam01__inst01__synth_merge_src2,bnb_flow_cd12a5843f5041__synth_merge_dst,49.44500299790146,98.89000599580292,168.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,49.44500299790146,49.44500299790146,
eth_flow_f47228df7eb24e__r7fam01__inst01__synth_unmatched_src,bnb_flow_cd12a5843f5041__synth_hidden_dst,98.89000599580292,0,168.0,one_to_one,0.2,supervised_flow_pair,Celer,semi_synthetic_unmatched,,,0,0
eth_flow_f47228df7eb24e__r7fam01__inst01__synth_noise_src_0,bnb_flow_cd12a5843f5041__synth_noise_dst_0,98.89000599580292,97.42114577867996,228,one_to_one,0.2582,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_f47228df7eb24e__r7fam01__inst01__synth_noise_src_1,bnb_flow_cd12a5843f5041__synth_noise_dst_1,98.89000599580292,97.42114577867996,288,one_to_one,0.2209,supervised_flow_pair,Celer,semi_synthetic_delay_noise,,,,
eth_flow_49b23c182e1e4b__r7fam02__inst00__synth_split_src,bnb_flow_5659fbd51ad14b__synth_split_a,44.459414,22.229707,183.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,22.229707,22.229707,
eth_flow_49b23c182e1e4b__r7fam02__inst00__synth_split_src,bnb_flow_5659fbd51ad14b__synth_split_b,44.459414,22.229707,183.0,one_to_many,0.95,supervised_flow_pair,Celer,semi_synthetic_split,1,22.229707,22.229707,
eth_flow_49b23c182e1e4b__r7fam02__inst00__synth_merge_src1,bnb_flow_5659fbd51ad14b__synth_merge_dst,22.229707,44.459414,183.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,22.229707,22.229707,
eth_flow_49b23c182e1e4b__r7fam02__inst00__synth_merge_src2,bnb_flow_5659fbd51ad14b__synth_merge_dst,22.229707,44.459414,183.0,many_to_one,1.0,supervised_flow_pair,Celer,semi_synthetic_merge,,22.229707,22.229707,
