chain,flow_id,tx_hashes,address_set,primary_address,token_contracts,token_symbols,asset_group,route_id,start_time,end_time,tx_count,raw_amount_sum,human_amount_sum,usd_amount_sum,aml_score_mean,aml_score_max,evidence_quality_mean,flow_construction_rule,bridge
ETH,eth_flow_0572088b25d54f__r7fam00__inst00__synth_split_src,0x342f748230e78dfdff612671783151ec9b995a16856155e9f6b6d8ae058301da,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820|0x9d8fc3f09059f1cf04c67bc6be4aef68e8f20b0f,0x9d8fc3f09059f1cf04c67bc6be4aef68e8f20b0f,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,stable:USDT,0x342f748230e78dfdff612671783151ec9b995a16856155e9f6b6d8ae058301da_None_USDT_0xdac17f958d2ee523a2206206994597c13d831ec7,1638640150,1638640150,1,124742823.0,124.742823,124.742823,0.000000,0.000000,0.775000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_0572088b25d54f__r7fam00__inst00__synth_merge_src1,0x342f748230e78dfdff612671783151ec9b995a16856155e9f6b6d8ae058301da,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820|0x9d8fc3f09059f1cf04c67bc6be4aef68e8f20b0f,0x9d8fc3f09059f1cf04c67bc6be4aef68e8f20b0f,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,stable:USDT,0x342f748230e78dfdff612671783151ec9b995a16856155e9f6b6d8ae058301da_None_USDT_0xdac17f958d2ee523a2206206994597c13d831ec7,1638640150,1638640150,1,62371411.5,62.3714115,62.3714115,0.000000,0.000000,0.775000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_0572088b25d54f__r7fam00__inst00__synth_merge_src2,0x342f748230e78dfdff612671783151ec9b995a16856155e9f6b6d8ae058301da,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820|0x9d8fc3f09059f1cf04c67bc6be4aef68e8f20b0f,0x9d8fc3f09059f1cf04c67bc6be4aef68e8f20b0f,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,stable:USDT,0x342f748230e78dfdff612671783151ec9b995a16856155e9f6b6d8ae058301da_None_USDT_0xdac17f958d2ee523a2206206994597c13d831ec7,1638640150,1638640150,1,62371411.5,62.3714115,62.3714115,0.000000,0.000000,0.775000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_0572088b25d54f__r7fam00__inst00__synth_unmatched_src,0x342f748230e78dfdff612671783151ec9b995a16856155e9f6b6d8ae058301da,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820|0x9d8fc3f09059f1cf04c67bc6be4aef68e8f20b0f,0x9d8fc3f09059f1cf04c67bc6be4aef68e8f20b0f,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,stable:USDT,0x342f748230e78dfdff612671783151ec9b995a16856155e9f6b6d8ae058301da_None_USDT_0xdac17f958d2ee523a2206206994597c13d831ec7,1638640150,1638640150,1,124742823.0,124.742823,124.742823,0.000000,0.000000,0.775000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_0572088b25d54f__r7fam00__inst00__synth_noise_src_0,0x342f748230e78dfdff612671783151ec9b995a16856155e9f6b6d8ae058301da,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820|0x9d8fc3f09059f1cf04c67bc6be4aef68e8f20b0f,0x9d8fc3f09059f1cf04c67bc6be4aef68e8f20b0f,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,stable:USDT,0x342f748230e78dfdff612671783151ec9b995a16856155e9f6b6d8ae058301da_None_USDT_0xdac17f958d2ee523a2206206994597c13d831ec7,1638640150,1638640150,1,124742823.0,124.742823,124.742823,0.000000,0.000000,0.775000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_0572088b25d54f__r7fam00__inst00__synth_noise_src_1,0x342f748230e78dfdff612671783151ec9b995a16856155e9f6b6d8ae058301da,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820|0x9d8fc3f09059f1cf04c67bc6be4aef68e8f20b0f,0x9d8fc3f09059f1cf04c67bc6be4aef68e8f20b0f,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,stable:USDT,0x342f748230e78dfdff612671783151ec9b995a16856155e9f6b6d8ae058301da_None_USDT_0xdac17f958d2ee523a2206206994597c13d831ec7,1638640150,1638640150,1,124742823.0,124.742823,124.742823,0.000000,0.000000,0.775000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_dcbe00a81dec43__r7fam00__inst01__synth_split_src,0x8743a5a27811eca2bb7a94f66af61667fae981ed1a08ef063d0aedbd337f4641,0x140b40aaf584b2502bb869b4a9f47a3c7073ef47|0x5427fefa711eff984124bfbb1ab6fbf5e3da1820,0x140b40aaf584b2502bb869b4a9f47a3c7073ef47,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,stable:USDC,0x8743a5a27811eca2bb7a94f66af61667fae981ed1a08ef063d0aedbd337f4641_None_USDC_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1641143101,1641143101,1,178229144.0,178.229144,178.229144,0.000000,0.000000,0.750000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_dcbe00a81dec43__r7fam00__inst01__synth_merge_src1,0x8743a5a27811eca2bb7a94f66af61667fae981ed1a08ef063d0aedbd337f4641,0x140b40aaf584b2502bb869b4a9f47a3c7073ef47|0x5427fefa711eff984124bfbb1ab6fbf5e3da1820,0x140b40aaf584b2502bb869b4a9f47a3c7073ef47,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,stable:USDC,0x8743a5a27811eca2bb7a94f66af61667fae981ed1a08ef063d0aedbd337f4641_None_USDC_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1641143101,1641143101,1,89114572.0,89.114572,89.114572,0.000000,0.000000,0.750000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_dcbe00a81dec43__r7fam00__inst01__synth_merge_src2,0x8743a5a27811eca2bb7a94f66af61667fae981ed1a08ef063d0aedbd337f4641,0x140b40aaf584b2502bb869b4a9f47a3c7073ef47|0x5427fefa711eff984124bfbb1ab6fbf5e3da1820,0x140b40aaf584b2502bb869b4a9f47a3c7073ef47,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,stable:USDC,0x8743a5a27811eca2bb7a94f66af61667fae981ed1a08ef063d0aedbd337f4641_None_USDC_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1641143101,1641143101,1,89114572.0,89.114572,89.114572,0.000000,0.000000,0.750000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_dcbe00a81dec43__r7fam00__inst01__synth_unmatched_src,0x8743a5a27811eca2bb7a94f66af61667fae981ed1a08ef063d0aedbd337f4641,0x140b40aaf584b2502bb869b4a9f47a3c7073ef47|0x5427fefa711eff984124bfbb1ab6fbf5e3da1820,0x140b40aaf584b2502bb869b4a9f47a3c7073ef47,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,stable:USDC,0x8743a5a27811eca2bb7a94f66af61667fae981ed1a08ef063d0aedbd337f4641_None_USDC_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1641143101,1641143101,1,178229144.0,178.229144,178.229144,0.000000,0.000000,0.750000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
