chain,flow_id,tx_hashes,address_set,primary_address,token_contracts,token_symbols,asset_group,route_id,start_time,end_time,tx_count,raw_amount_sum,human_amount_sum,usd_amount_sum,aml_score_mean,aml_score_max,evidence_quality_mean,flow_construction_rule,bridge
ETH,eth_flow_2d548288144f46__r7fam00__inst00__synth_split_src,0x0658aeeab178a4a64c6d60a03e423339401cb37272e5cf621144c7bf4b43a3e1,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820|0xa27242324bf28edf341bed2b9542666ca331dabc,0xa27242324bf28edf341bed2b9542666ca331dabc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,stable:USDC,0x0658aeeab178a4a64c6d60a03e423339401cb37272e5cf621144c7bf4b43a3e1_None_USDC_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1640948849,1640948849,1,164138614.0,164.138614,164.138614,0.000000,0.000000,0.750000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_2d548288144f46__r7fam00__inst00__synth_merge_src1,0x0658aeeab178a4a64c6d60a03e423339401cb37272e5cf621144c7bf4b43a3e1,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820|0xa27242324bf28edf341bed2b9542666ca331dabc,0xa27242324bf28edf341bed2b9542666ca331dabc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,stable:USDC,0x0658aeeab178a4a64c6d60a03e423339401cb37272e5cf621144c7bf4b43a3e1_None_USDC_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1640948849,1640948849,1,82069307.0,82.069307,82.069307,0.000000,0.000000,0.750000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_2d548288144f46__r7fam00__inst00__synth_merge_src2,0x0658aeeab178a4a64c6d60a03e423339401cb37272e5cf621144c7bf4b43a3e1,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820|0xa27242324bf28edf341bed2b9542666ca331dabc,0xa27242324bf28edf341bed2b9542666ca331dabc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,stable:USDC,0x0658aeeab178a4a64c6d60a03e423339401cb37272e5cf621144c7bf4b43a3e1_None_USDC_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1640948849,1640948849,1,82069307.0,82.069307,82.069307,0.000000,0.000000,0.750000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_2d548288144f46__r7fam00__inst00__synth_unmatched_src,0x0658aeeab178a4a64c6d60a03e423339401cb37272e5cf621144c7bf4b43a3e1,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820|0xa27242324bf28edf341bed2b9542666ca331dabc,0xa27242324bf28edf341bed2b9542666ca331dabc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,stable:USDC,0x0658aeeab178a4a64c6d60a03e423339401cb37272e5cf621144c7bf4b43a3e1_None_USDC_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1640948849,1640948849,1,164138614.0,164.138614,164.138614,0.000000,0.000000,0.750000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_2d548288144f46__r7fam00__inst00__synth_noise_src_0,0x0658aeeab178a4a64c6d60a03e423339401cb37272e5cf621144c7bf4b43a3e1,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820|0xa27242324bf28edf341bed2b9542666ca331dabc,0xa27242324bf28edf341bed2b9542666ca331dabc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,stable:USDC,0x0658aeeab178a4a64c6d60a03e423339401cb37272e5cf621144c7bf4b43a3e1_None_USDC_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1640948849,1640948849,1,164138614.0,164.138614,164.138614,0.000000,0.000000,0.750000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_2d548288144f46__r7fam00__inst00__synth_noise_src_1,0x0658aeeab178a4a64c6d60a03e423339401cb37272e5cf621144c7bf4b43a3e1,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820|0xa27242324bf28edf341bed2b9542666ca331dabc,0xa27242324bf28edf341bed2b9542666ca331dabc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,stable:USDC,0x0658aeeab178a4a64c6d60a03e423339401cb37272e5cf621144c7bf4b43a3e1_None_USDC_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1640948849,1640948849,1,164138614.0,164.138614,164.138614,0.000000,0.000000,0.750000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_de9689226f3841__r7fam00__inst01__synth_split_src,0x6ba40b3026e8d94edf37327c994f73a7e4457e76b28dc19f2a41eaa4e98472e2|0xbe7f7b47ca0e4d8ed92dcadcb2e4ab29238a74014af22d7918df12d26ebd8961,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820|0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820,,NATIVE,token:NATIVE,0x6ba40b3026e8d94edf37327c994f73a7e4457e76b28dc19f2a41eaa4e98472e2_0_native_,1639590519,1639591222,2,6e+16,0.06,0.06,0.000000,0.000000,0.800000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_de9689226f3841__r7fam00__inst01__synth_merge_src1,0x6ba40b3026e8d94edf37327c994f73a7e4457e76b28dc19f2a41eaa4e98472e2|0xbe7f7b47ca0e4d8ed92dcadcb2e4ab29238a74014af22d7918df12d26ebd8961,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820|0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820,,NATIVE,token:NATIVE,0x6ba40b3026e8d94edf37327c994f73a7e4457e76b28dc19f2a41eaa4e98472e2_0_native_,1639590519,1639591222,2,3e+16,0.03,0.03,0.000000,0.000000,0.800000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_de9689226f3841__r7fam00__inst01__synth_merge_src2,0x6ba40b3026e8d94edf37327c994f73a7e4457e76b28dc19f2a41eaa4e98472e2|0xbe7f7b47ca0e4d8ed92dcadcb2e4ab29238a74014af22d7918df12d26ebd8961,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820|0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820,,NATIVE,token:NATIVE,0x6ba40b3026e8d94edf37327c994f73a7e4457e76b28dc19f2a41eaa4e98472e2_0_native_,1639590519,1639591222,2,3e+16,0.03,0.03,0.000000,0.000000,0.800000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
ETH,eth_flow_de9689226f3841__r7fam00__inst01__synth_unmatched_src,0x6ba40b3026e8d94edf37327c994f73a7e4457e76b28dc19f2a41eaa4e98472e2|0xbe7f7b47ca0e4d8ed92dcadcb2e4ab29238a74014af22d7918df12d26ebd8961,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820|0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820,,NATIVE,token:NATIVE,0x6ba40b3026e8d94edf37327c994f73a7e4457e76b28dc19f2a41eaa4e98472e2_0_native_,1639590519,1639591222,2,6e+16,0.06,0.06,0.000000,0.000000,0.800000,tx_agg_rolling_1800s_same_asset_group_or_route,Celer
